#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4449929	SRX8043384	rep2	17207	Rrn9
ChIP-exo	GSM4449930	SRX8043385	rep1	14427	Rrp4
ChIP-exo	GSM4449931	SRX8043386	rep1	14477	Rrp42
ChIP-exo	GSM4449932	SRX8043387	rep1	12065	Rsc1
ChIP-exo	GSM4449933	SRX8043388	rep2	15165	Rsc1
ChIP-exo	GSM4449934	SRX8043389	rep3	15809	Rsc1
ChIP-exo	GSM4449935	SRX8043390	rep4	15816	Rsc1
ChIP-exo	GSM4449936	SRX8043391	rep1	17957	Rsc2
ChIP-exo	GSM4449937	SRX8043392	rep1	11848	Rsc3
ChIP-exo	GSM4449938	SRX8043393	rep2	15808	Rsc3
ChIP-exo	GSM4449939	SRX8043394	rep3	15815	Rsc3
ChIP-exo	GSM4449940	SRX8043395	rep4	19678	Rsc3
ChIP-exo	GSM4449941	SRX8043396	rep1	17048	Rsc30
ChIP-exo	GSM4449942	SRX8043397	rep1	17885	RSC4
ChIP-exo	GSM4449943	SRX8043398	rep1	11855	Rsc58
ChIP-exo	GSM4449944	SRX8043399	rep2	15803	Rsc58
ChIP-exo	GSM4449945	SRX8043400	rep3	15810	Rsc58
ChIP-exo	GSM4449946	SRX8043401	rep1	11856	Rsc6
ChIP-exo	GSM4449947	SRX8043402	rep2	15807	Rsc6
ChIP-exo	GSM4449948	SRX8043403	rep3	15814	Rsc6
ChIP-exo	GSM4449949	SRX8043404	rep1	12079	Rsc8
ChIP-exo	GSM4449950	SRX8043405	rep2	15804	Rsc8
ChIP-exo	GSM4449951	SRX8043406	rep1	12276	Rsc9
ChIP-exo	GSM4449952	SRX8043407	rep2	15806	Rsc9
ChIP-exo	GSM4449953	SRX8043408	rep3	19834	Rsc9
ChIP-exo	GSM4449954	SRX8043409	rep4	19898	Rsc9
ChIP-exo	GSM4449955	SRX8043410	rep1	14862	Rsp5
ChIP-exo	GSM4449956	SRX8043411	rep2	14623	Rtf1
ChIP-exo	GSM4449957	SRX8043412	rep1	11742	Rtg1
ChIP-exo	GSM4449958	SRX8043413	rep1	14463	Rtg2
ChIP-exo	GSM4449959	SRX8043414	rep1	11976	Rtg3
ChIP-exo	GSM4449960	SRX8043415	rep2	15189	Rtg3
ChIP-exo	GSM4449961	SRX8043416	rep1	18499	Rtr1
ChIP-exo	GSM4449962	SRX8043417	rep1	12106	Rts2
ChIP-exo	GSM4449963	SRX8043418	rep2	17585	Rts2
ChIP-exo	GSM4449964	SRX8043419	rep1	11890	Rtt102
ChIP-exo	GSM4449965	SRX8043420	rep2	16032	Rtt102
ChIP-exo	GSM4449966	SRX8043421	rep1	12944	Rtt103
ChIP-exo	GSM4449967	SRX8043422	rep2	16576	Rtt103
ChIP-exo	GSM4449968	SRX8043423	rep1	11915	Rtt106
ChIP-exo	GSM4449969	SRX8043496	rep1	17933	Rtt109
ChIP-exo	GSM4449970	SRX8043497	rep1	17014	Rvb1
ChIP-exo	GSM4449971	SRX8043498	rep2	22433	Rvb1
ChIP-exo	GSM4449972	SRX8043499	rep1	14538	Rvb2
ChIP-exo	GSM4449973	SRX8043500	rep1	12933	Rxt1
ChIP-exo	GSM4449974	SRX8043501	rep2	18018	Rxt1
ChIP-exo	GSM4449975	SRX8043502	rep1	16037	Rxt2
ChIP-exo	GSM4449976	SRX8043503	rep2	17853	Rxt2
ChIP-exo	GSM4449977	SRX8043504	rep1	12942	Rxt3
ChIP-exo	GSM4449978	SRX8043505	rep2	18015	Rxt3
ChIP-exo	GSM4449979	SRX8043506	rep1	12855	Sam4
ChIP-exo	GSM4449980	SRX8043507	rep1	15771	Sap30
ChIP-exo	GSM4449981	SRX8043508	rep2	17156	Sap30
ChIP-exo	GSM4449982	SRX8043509	rep1	16030	Sas2
ChIP-exo	GSM4449983	SRX8043510	rep1	18017	Sas3
ChIP-exo	GSM4449984	SRX8043511	rep1	17937	Sas4
ChIP-exo	GSM4449985	SRX8043512	rep1	17560	Sas5
ChIP-exo	GSM4449986	SRX8043513	rep1	11909	Scc2
ChIP-exo	GSM4449987	SRX8043514	rep2	17930	Scc2
ChIP-exo	GSM4449988	SRX8043515	rep1	12064	Scc4
ChIP-exo	GSM4449989	SRX8043516	rep1	13479	Sch9
ChIP-exo	GSM4449990	SRX8043517	rep1	17925	Sda1
ChIP-exo	GSM4449991	SRX8043518	rep1	12086	Sdc1
ChIP-exo	GSM4449992	SRX8043519	rep2	15650	Sdc1
ChIP-exo	GSM4449993	SRX8043544	rep1	11843	Sds3
ChIP-exo	GSM4449994	SRX8043545	rep1	11907	Sen1
ChIP-exo	GSM4449995	SRX8043546	rep2	14267	Sen1
ChIP-exo	GSM4449996	SRX8043547	rep1	14475	Ser2
ChIP-exo	GSM4449997	SRX8043548	rep1	12443	Set1
ChIP-exo	GSM4449998	SRX8043549	rep2	16042	Set1
ChIP-exo	GSM4449999	SRX8043550	rep1	11755	Set2
ChIP-exo	GSM4450000	SRX8043551	rep2	13791	Set2
ChIP-exo	GSM4450001	SRX8043552	rep1	12454	Set3
ChIP-exo	GSM4450002	SRX8043553	rep2	16049	Set3
ChIP-exo	GSM4450003	SRX8043554	rep1	12458	Set5
ChIP-exo	GSM4450004	SRX8043555	rep1	17852	Sfh1
ChIP-exo	GSM4450005	SRX8043556	rep2	20451	Sfh1
ChIP-exo	GSM4450006	SRX8043557	rep1	14459	Sfl1
ChIP-exo	GSM4450007	SRX8043558	rep2	14977	Sfl1
